27.3829 	INFO 	Loaded monitor calibration from ['2024_12_17 11:56']
27.6151 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x15ffa3010>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x15ffa3070>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x160178f10>, multiSample=False, name='window1', numSamples=2, pos=[276.0, 139.0], screen=0, size=array([1600, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
27.6152 	EXP 	window1: backgroundImage = ''
27.6152 	EXP 	window1: backgroundFit = 'none'
27.6287 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6291 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6296 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6302 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6308 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6314 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6320 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6323 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6325 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6326 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6332 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6338 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6340 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6344 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6348 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6354 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6358 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6362 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6366 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6371 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6377 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6383 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6387 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6393 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6397 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6402 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6408 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6410 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6412 	DEBUG 	Uploading Texture Font fontname to graphics card
27.6438 	DEBUG 	Upload of Texture Font fontname complete
27.6478 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
27.6484 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
